projectname,classification,preprocess_comments
jEdit-4.2,1,implement string valu accord jl valu may anyth in beanshel we disallow void undefin valu or should map them empti string
jEdit-4.2,1,thi should befor dockabl initi
jEdit-4.2,1,thi right
jEdit-4.2,1,should thi both case abov
jEdit-4.2,1,need loosen thi ani throwabl need handl that interpret somewher check first
jEdit-4.2,1,fuck gtk look and feel
jEdit-4.2,1,note thi implement temporari current keep flat namespac base name class beanshel cannot the process defin two class differ packag with same base name remov thi limit requir that work through namespac import analog or use same path regular class import resolut thi workaround should handl most case so we tri now
jEdit-4.2,1,copi and past from
jEdit-4.2,1,wish could make thi friendli onli namespac
jEdit-4.2,1,undocu hack allow browser action work xxx clean
jEdit-4.2,1,look default invok handler method namespac note thi code duplic that namespac getcommand that ok
jEdit-4.2,1,thi should per instanc
jEdit-4.2,1,can use proxi mechan cast bsh thi correct interfac
jEdit-4.2,1,redund with constructor
jEdit-4.2,1,issu resolv here which classload should defin class if there bshclassload should defin there should use reflect set non bsh classload if there one should alway creat bsh classload and expos it defineclass
jEdit-4.2,1,could refactor these bit
jEdit-4.2,1,note thi class essenti just deleg most it method it parent the setvari indirect veri small could probabl fold thi function back into base namespac special case but thi ha chang few time like leav thi abstract for now
jEdit-4.2,1,simplifi these set littl
jEdit-4.2,1,should check strict java here and use isjavaassign instead
jEdit-4.2,1,workaround swing render label start with html use html engin
jEdit-4.2,1,look default invok handler method namespac note thi code duplic that thi java should it call can never command
jEdit-4.2,1,thi method nightmar
jEdit-4.2,1,consoleinterfac the interpret reflex implement consol interfac that use should clean thi use inner class implement consol us
jEdit-4.2,1,case insensit workaround
jEdit-4.2,1,wrap null thi bit cludg address defici class gener wherebi doe not wrap null method deleg see class gener java fix that then can remov thi just have gener code there
jEdit-4.2,1,switch eat multi level break here not empti statement
jEdit-4.2,1,check field object note could elimin throw except somehow
jEdit-4.2,1,xxxx re evalu thi can getsup work itself now we class instanc and parent also class instanc then super mean our parent
jEdit-4.2,1,wish protect access limit children and not also packag scope want thi singleton implement variou children
jEdit-4.2,1,import full name wasn found absolut class compound tri resolv inner class mayb thi should happen bshclassmanag
jEdit-4.2,1,can thi combin with run run seem have stuff interact vs them side side and see what they differ asid from the except handl
jEdit-4.2,1,copi and past from
jEdit-4.2,1,null valu just declar note might want keep ani exist valu here instead reset
jEdit-4.2,1,can thi factor out should ad here instead
jEdit-4.2,1,catch mismatch and continu tri next note thi inneffici should have that doesn throw
jEdit-4.2,1,should use tri final here pop
jEdit-4.2,1,note thi could made clearer ad inner class the case and object context child travers
jEdit-4.2,1,hack stick first interpret that resolv thi see comment type instanc variabl
jEdit-4.2,1,note incorrect here use hack bsh class manag that allow lookup base name need elimin thi limit work through import see note class manag
jEdit-4.2,1,thi namespac which method set it back refer node which need execut under thi namespac not necessari declar thi transient becaus we can onli save part our namespac anyway current
jEdit-4.2,1,replac thi cocoa api call later
jEdit-4.2,1,script class current requir access thi can elimin with bit more work
jEdit-4.2,1,thi could static
jEdit-4.2,1,thank slava pestov of jedit fame import cach thi class ha gotten too big should broken down bit
jEdit-4.2,1,regist attribut declar later retriev format string type string default valu int valu type todo someth with attribut type
jEdit-4.2,1,get cast and box work byte if basetyp wrapper type then need get primit type class base type here order the cast allow it then box will happen natur in the integ
jEdit-4.2,1,note will move thi behavior out subclass namespac but we start here
jEdit-4.2,1,thi particularli nasti bit code that check paramet entiti refer but peek ahead catch paramet entiti declar
jEdit-4.2,1,should cach thi subject classload chang messag evalu formal paramet simpli resolv it type via specifi namespac doesn modifi namespac
jEdit-4.2,1,note it would not hard elimin use from thi class make distribut tini bit smaller
jEdit-4.2,1,fuck gtk look and feel
jEdit-4.2,1,stupid caret will automat increment
jEdit-4.2,1,space workaround
jEdit-4.2,1,don know ani other way fix thi sinc invok thi command from menu result focu owner be menu until menu goe away
jEdit-4.2,1,littl hack revers replac and find
jEdit-4.2,1,static method that oper compound separ name guess could move these stringutil someday
jEdit-4.2,1,note which these thing should check pars time vs run time
jEdit-4.2,1,thi part suck
jEdit-4.2,1,window bug workaround case ye no confirm shown
jEdit-4.2,1,clear name resolv don know thi necessari
jEdit-4.2,1,thi stupid and mislead but not use anywher except abov line and thi done after then will either hang forc duplic insid buffer null add claus you decid which one wors
jEdit-4.2,1,too tire think better way handl thi right now
jEdit-4.2,1,hack bufferiorequest send vfsupdat case two stage save off now
jEdit-4.2,1,some other primit should avoid call method primit name can treat primit like object messag but hole use right now
jEdit-4.2,1,chang parent which class static class instanc realli need check we static inner class here first but some reason java won show static modifi our fake inner class could gener flag field
jEdit-4.2,1,thi where check except piss off thi method onli use stringread which can never throw except
jEdit-4.2,1,ani subexpress didn termin they don count todo check thi code ever get hit
jEdit-4.2,1,pars pattern into token doe anyon know it more effici use char than string charat assum so
jEdit-4.2,1,note object onli use here precondit get rid it
jEdit-4.2,1,whi both these
jEdit-4.2,1,cut off from parent must have our own class manag can thi run command need resolv stuff should default when creat namespac will parent class manag
jEdit-4.2,1,note bsh command code should probabl not here need to scope namespac that import command probabl need integr into namespac
jEdit-4.2,1,thi could smarter
jEdit-4.2,1,explicitli import but don know what is should throw error here
jEdit-4.2,1,note need form eval that pass callstack through
jEdit-4.2,1,primari interpret set and get variabl method note these squeltch error should they
jEdit-4.2,1,workaround jdk bug where return too larg valu thi bug ha been fix jdk
jEdit-4.2,1,somewhat hack special field visibl rel type alreadi dissallow further thi refer prevent user from skip thing
jEdit-4.2,1,should clean thi singl return statement
jEdit-4.2,1,implement note note may need some synchron here note version depend thi base class jdk forc use weak refer full the option bsh classpath packag accomod all of the fleet namespac listen they fall out scope namespac must inform class space chang that they can un cach name perhap simpler idea would have entiti that refer cach type alway perform light weight check with counter refer valu and use that detect chang namespac thi put burden consum check appropri time but could elimin the need listen system mani place and necess weak refer thi packag
jEdit-4.2,1,note thi impor pattern becom common could factor out into an importedobject vector class
jEdit-4.2,1,not sure should realli recurs here explicitli import class parent
jEdit-4.2,1,the follow two boolean check tack on thi could probabl smooth out
jEdit-4.2,1,note thi broken find public but less specif method over non public but more specif need rewritten elimin should implement that use publiconli flag should also oper two pass give standard java assign match prioriti over extend bsh type match
jEdit-4.2,1,unixworkaround constructor
jEdit-4.2,1,drag and drop support just move code jedittextarea but depend jdk api
jEdit-4.2,1,next version remov thi
jEdit-4.2,1,compat kludg jedit and earlier
jEdit-4.2,1,stupid scrollbar polici attempt work around bug peopl have been see with ibm jdk sep
jEdit-4.2,1,thi weird hack don want insert search bar search bar ha focu
jEdit-4.2,1,aha thi probabl onli way fix thi
jEdit-4.2,1,thi dirti hack and reli fact that updat parent sent befor updat chang node themselv if thi not case browser wouldn updat properli delet etc avoid caus request error don reload directori request alreadi activ
jEdit-4.2,1,consum thi work around bug where tab window switch activ menu bar window
jEdit-4.2,1,guess translat event not have field set so consum won work don think thi problem as noth use translat anyway
jEdit-4.2,1,thi hack and realli need done better
jEdit-4.2,1,copi and past from resyntaxmatch make syntax packag independ jedit itself
jEdit-4.2,1,stupid
jEdit-4.2,1,thi doesn seem veri correct but fix problem when set initi caret posit buffer eg from recent file list
jEdit-4.2,1,don tri thi home
jEdit-4.2,1,silli that refer vertic scroll bar here directli thi so that horizont scroll bar flush with vertic scroll bar
jEdit-4.2,1,xxx clean thi condit
jEdit-4.2,1,temporari hack support inner class obj non static inner class then import context thi not suffici emul inner class replac thi later
jEdit-4.2,1,workaround swing annoy process label start with html which often break
jEdit-4.2,1,fuck gtk look and feel
jEdit-4.2,1,hack that all doe not chang current buffer
jEdit-4.2,1,occur occur the begin select the select start will get move thi suck hack avoid it
jEdit-4.2,1,silli bug workaround you look abov code note that restor save caret posit first then scroll save locat howev caret chang can itself result scroll differ locat than what save and sinc movecaretposit call bracket highlight out of bound calcul will reli differ set physic first last line than what will end with eventu instead confus user with statu messag that appear random when switch buffer simpli hide the messag altogeth
jEdit-4.2,1,thi sloppi hack fix bug hit return after collaps fold idea that extend rang then problem describ bug happend so insert veri end rang don extend it instead push the insert into next rang howev thi work properli also have mess with screen line count
jEdit-4.2,1,need thi bullshit scroll bar polici prefer size hack work
jEdit-4.2,1,xxx keep createclassmanag getclassmanag then can axe thi
jEdit-4.2,1,note thi class messi the method and field resolut need be rewritten variou method here catch nosuchmethod dure their search these should rewritten avoid have catch except method lookup now cach high level they less import howev logic messi
jEdit-4.2,1,sooner ppl move new api less we need crap like thi
jEdit-4.2,1,nasti hardcod valu
jEdit-4.2,1,strip off drive letter review would better check file separ
jEdit-4.2,1,xxx magic number
jEdit-4.2,1,workaround uncoop window
jEdit-4.2,1,have thi hack until vfspath class written
jEdit-4.2,1,stupid swing
jEdit-4.2,1,none other ever meant remov retard eh thi need fix eventu plugin might want weird stuff jedit
jEdit-4.2,1,thi retard excus while drool and make stupid nois
jEdit-4.2,1,stupid scrollbar polici attempt work around bug peopl have been see with ibm jdk sep
jEdit-4.2,1,retard gtk look and feel
jEdit-4.2,1,should probabl error
jEdit-4.2,1,there must better way fix thi problem that thi method can sometim call result text area scroll event which case caret posit ha not been updat yet
jEdit-4.2,1,perhap here would want guard with properti parallel backup not
jEdit-4.2,1,thi such bad way do it but well
jEdit-4.2,1,while thi might question some menu depend properti
jEdit-4.2,1,get avail screen thi nasti but sinc aren deall with mani item should fine
jEdit-4.2,1,method that realli shouldn public
jEdit-4.2,1,unixworkaround class
jEdit-4.2,1,perhap xerc wasn slightli brain damag would not need thi
jEdit-4.2,1,thi weird hack don want insert search bar search bar ha focu
jEdit-4.2,1,move guiutil make sens be here
